month,city_name,TYPE,Outside Service Area,App Crash,No Open Stores in Feed,No_Search_Match,High Surge Selection,Add to Cart Failure,Item Config Failure,View Cart Failure,Order Cart Failure,Courier Cancel Failure,No Courier Found,Eater Cancel,Restaurant Cancel,No Restaurant Accept,Support Cancel,Missing Item,Wrong Order,Food Quality Failure,Never Received Order,Long ATD Failure,Down Courier Rating,No Failure,week_two,city_name,unique_total_sessions
2021-01-01 00:00:00.000,Wilkes-Barre Scranton,CITY,68,92,6238,157,40,450,63,136,913,28,54,368,50,124,60,411,44,84,111,1095,154,7094,2021-01-01 00:00:00.000,Wilkes-Barre Scranton,15345
2021-09-01 00:00:00.000,Hampton Roads,CITY,343,1610,2428,1273,2456,361,488,1300,10267,619,26,2139,584,1989,2283,2445,481,543,745,12332,1451,140808,2021-09-01 00:00:00.000,Hampton Roads,179984
2021-03-01 00:00:00.000,Erie,CITY,44,67,1811,89,25,207,13,131,531,16,67,354,24,117,61,225,29,41,34,982,87,3963,2021-03-01 00:00:00.000,Erie,7717
2021-12-01 00:00:00.000,New Jersey,CITY,1154,8167,3259,8675,53181,4926,5604,6691,91532,5756,131,22027,9269,12561,12219,45880,6936,6383,7402,141470,10462,1398878,2021-12-01 00:00:00.000,New Jersey,1787973
2021-03-01 00:00:00.000,Hampton Roads,CITY,58,1046,17892,1117,5396,4244,468,1260,6874,264,288,3362,1007,1282,721,3446,299,414,604,13587,1012,57202,2021-03-01 00:00:00.000,Hampton Roads,107622
2021-05-01 00:00:00.000,Greater Maine,CITY,70,40,311,71,17,15,11,43,206,5,9,64,4,36,31,94,11,14,15,209,25,2768,2021-05-01 00:00:00.000,Greater Maine,3841
2022-01-01 00:00:00.000,Harrisburg,CITY,86,145,498,392,48,112,169,162,2821,95,12,556,144,552,656,1461,178,217,279,2636,454,39334,2022-01-01 00:00:00.000,Harrisburg,49059
2021-12-01 00:00:00.000,"Portland, ME",CITY,110,64,515,227,38,145,49,78,847,54,30,471,61,241,322,354,48,32,63,1269,92,9822,2021-12-01 00:00:00.000,"Portland, ME",13985
2021-10-01 00:00:00.000,Washington D.C.,CITY,2303,10701,18228,10549,120065,4819,4664,11404,87412,4620,126,19415,5814,11723,14392,11598,1729,2014,2173,83340,4227,1445884,2021-10-01 00:00:00.000,Washington D.C.,1808256
2021-01-01 00:00:00.000,York-Gettysburg,CITY,57,73,315,157,28,55,63,149,856,35,92,579,69,149,51,454,42,50,85,1252,142,10264,2021-01-01 00:00:00.000,York-Gettysburg,14307
