month,city_name,TYPE,Outside Service Area,App Crash,No Open Stores in Feed,No_Search_Match,High Surge Selection,Add to Cart Failure,Item Config Failure,View Cart Failure,Order Cart Failure,Courier Cancel Failure,No Courier Found,Eater Cancel,Restaurant Cancel,No Restaurant Accept,Support Cancel,Missing Item,Wrong Order,Food Quality Failure,Never Received Order,Long ATD Failure,Down Courier Rating,No Failure,week_two,city_name,unique_total_sessions
2022-01-01 00:00:00.000,New_England,CITY,764,2620,9552,3624,15473,2322,1725,1841,34228,1416,133,8556,2578,5029,5124,16233,1945,2225,3199,39068,4535,528659,2022-01-01 00:00:00.000,New_England,661165
2021-07-01 00:00:00.000,DC,CITY,677,8561,149032,10026,67835,3238,4825,8629,79467,3646,402,17117,5982,11595,12439,45387,5921,5926,7695,186059,13972,1279778,2021-07-01 00:00:00.000,DC,1819689
2021-11-01 00:00:00.000,Boston Surrounding-Providence,CITY,205,568,2232,1088,925,435,326,1975,7843,445,48,2231,457,1616,1313,959,94,142,149,2270,231,96560,2021-11-01 00:00:00.000,Boston Surrounding-Providence,115957
2021-04-01 00:00:00.000,Boston,CITY,648,9335,22291,8626,194107,6379,2513,5623,41303,1558,183,11031,3050,4461,5513,24239,3093,3104,4587,114029,7661,831763,2021-04-01 00:00:00.000,Boston,1224165
2021-05-01 00:00:00.000,Boston,CITY,656,9557,14996,8376,119403,3892,2927,5722,41520,1608,133,11697,3425,5119,5258,24053,2949,2855,4494,114572,7316,770937,2021-05-01 00:00:00.000,Boston,1098305
2021-03-01 00:00:00.000,Boston,CITY,487,8997,22620,8912,115383,9546,2580,6713,47873,1685,954,11680,3295,4639,3272,27402,3712,3445,5481,104879,8676,842770,2021-03-01 00:00:00.000,Boston,1179492
2021-05-01 00:00:00.000,Pittsburg_PA,CITY,781,3567,15102,3673,6769,3186,1329,3259,18518,656,352,6033,1305,4576,4337,10639,1028,1299,1684,48741,3177,219446,2021-05-01 00:00:00.000,Pittsburg_PA,333823
2021-12-01 00:00:00.000,Boston,CITY,330,5261,3006,7219,202022,3899,3240,3510,51973,3711,79,14040,5499,7467,7256,26937,3622,3534,6324,99281,6697,744718,2021-12-01 00:00:00.000,Boston,1134967
2021-08-01 00:00:00.000,New_England,CITY,945,3176,10618,4404,13369,1653,1942,3104,32985,1122,318,7946,2686,5285,4980,13712,1696,1912,2529,35079,4400,483400,2021-08-01 00:00:00.000,New_England,615501
2021-09-01 00:00:00.000,Pittsburg_PA,CITY,1146,4397,25802,3763,20576,1708,1478,2790,24068,1118,284,7092,1604,5570,6480,5730,1112,1410,1796,52964,3827,253253,2021-09-01 00:00:00.000,Pittsburg_PA,396200
